0|0|8
1|0|2
2|1|8
3|0|2
4|1|8
5|0|2
6|0|8
7|0|2
8|1|8
9|0|2
10|1|5
11|0|2
12|0|8
13|0|2
14|0|4
15|0|2
16|0|1
17|0|2
18|1|8
19|0|2
20|0|8
21|0|2
22|0|4
23|0|2
24|0|8
25|0|2
26|0|8
27|0|2
28|0|8
29|0|2
30|0|8
31|0|2
32|0|8
33|0|2
34|1|0
35|0|2
36|1|0
37|0|2
38|1|0
39|0|2
40|1|0
41|0|2
42|1|0
43|0|2
44|1|0
45|0|2
46|1|0
47|0|2
48|1|0
49|0|2
50|1|0
51|0|2
52|0|4
53|0|2
54|0|1
55|0|2
56|0|1
57|0|2
58|0|1
59|0|2
60|3|5
61|0|2
62|0|5
63|0|2
64|1|5
65|0|2
66|1|0
67|0|2
68|1|0
69|0|2
70|1|0
71|0|2
72|1|0
73|0|2
74|1|0
75|0|2
76|1|0
77|0|2
78|1|0
79|0|2
80|1|0
81|0|2
82|1|0
83|0|2
84|1|0
85|0|2
86|1|0
87|0|2
88|1|0
89|0|2
90|1|0
91|0|2
92|1|0
93|0|2
94|1|0
95|0|2
96|1|0
97|0|2
98|1|0
99|0|2
100|1|4
101|0|2
102|2|8
103|0|2
104|0|8
105|0|2
106|0|5
107|0|2
108|0|8
109|0|2
110|0|8
111|0|2
112|0|8
113|0|2
114|0|5
115|0|2
116|1|8
117|0|2
118|1|8
119|0|2
120|1|8
121|0|2
122|1|0
123|0|2
124|1|0
125|0|2
126|0|2
127|0|2
128|0|2
129|0|2
130|1|0
131|0|2
132|1|0
133|0|2
134|1|0
135|0|2
136|1|0
137|0|2
138|1|0
139|0|2
140|1|0
141|0|2
142|1|0
143|0|2
144|1|0
145|0|2
146|1|0
147|0|2
148|1|0
149|0|2
150|1|0
151|0|2
152|1|0
153|0|2
154|1|0
155|0|2
156|1|0
157|0|2
158|1|0
159|0|2
160|1|0
161|0|2
162|1|8
163|0|2
164|1|8
165|0|2
166|1|8
167|0|2
168|1|8
169|0|2
170|1|8
171|0|2
172|1|8
173|0|2
174|1|8
175|0|2
176|1|8
177|0|2
178|1|8
179|0|2
180|1|8
181|0|2
182|1|8
183|0|2
184|1|8
185|0|2
186|1|8
187|0|2
188|0|4
189|0|2
190|0|4
191|0|2
192|0|4
193|0|2
194|1|4
195|0|2
196|0|4
197|0|2
198|0|4
199|0|2
200|0|4
201|0|2
202|1|5
203|0|2
204|1|5
205|0|2
206|1|5
207|0|2
208|1|0
209|0|2
210|1|0
211|0|2
212|1|0
213|0|2
214|1|0
215|0|2
216|1|0
217|0|2
218|0|1
219|0|2
220|1|5
221|0|2
222|2|8
223|0|2
224|3|4
225|0|2
226|1|4
227|0|2
228|0|4
229|0|2
230|0|5
231|0|2
232|1|0
233|0|2
234|1|0
235|0|2
236|1|0
237|0|2
238|1|0
239|0|2
240|1|0
241|0|2
242|1|5
243|0|2
244|1|5
245|0|2
246|0|4
247|0|2
248|1|8
249|0|2
250|1|0
251|0|2
252|0|4
253|0|2
